region,per_capita,real_incomes,formal_wage,real_pay,child_mortality,disabled,alco,drug,gross_regional_product,living_area,bad_conditions,no_funds,general_morbidity,congenital_malformation,psychosis,teenage_pregnancy,newborn,population,poverty_percent,the_poor: children,the_poor: retired,the_poor: employable,reg_prod_total,retail,welfare,crime_rate,crime_growth_rate,serious_crimes,сrime_geography,children,life_expectancy,employment_rate,busy_retired,below_the_subsistence_level,poor_elderly,coverage_of_the_elderly,leisure_attendance
Алтайский край,22480.8,98.1,24598.0,90.0,323.7,62401.5,87.0,17.4,212259.9,18.0,0.3,0.8642000000000001,111208.6,191.0,1397.9,5.0,27605.7,2453999.7,29.0,31.4,9.2,59.4,799482608.9,144555.0,26.3,1600.6,-5.8,0.17,0.02573,483144.0,17.55,16.2,29.0,3.5,26.35,3746.0,28.9
Амурская область,30861.5,98.9,41014.3,88.0,174.8,25527.0,102.350006,21.55,369814.0,17.3,1.3,1.0731000000000002,83665.5,365.5,481.5,13.4,10224.1,843491.6,26.2,38.4,4.7,56.9,320552034.2,205867.0,23.8,1846.9,-5.3,0.225,0.01007,178658.0,15.05,19.35,19.0,3.05,31.049999999999997,4883.5,44.5
Архангельская область без Ненецкого АО,31840.0,97.9,43617.2,92.4,143.4,27432.7,60.0,7.3,381017.2,16.9,1.4,1.2998,100714.8,421.2,674.9,10.4,12909.5,1198813.4,21.6,28.5,7.2,64.3,628293200.0,216157.0,20.8,1450.1,-5.0,0.22,0.01106,208094.0,17.65,16.25,17.65,2.4,16.45,4704.5,46.75
Астраханская область,23899.5,96.6,31866.5,89.9,145.7,19912.0,24.2,0.45,374377.4,19.2,0.8,2.9027999999999996,63367.8,332.5,776.7,19.6,13403.9,1009587.7,20.4,42.1,5.5,52.4,784112179.1,169976.0,25.1,1188.1,-3.0,0.182,0.00827,226161.0,20.450000000000003,18.4,27.05,2.9,9.2,5793.0,34.85
Белгородская область,30692.5,99.4,30920.3,93.2,139.2,62646.7,43.25,2.75,479672.1,17.8,0.7,0.384,72686.8,126.9,398.6,3.0,15822.9,1528216.2,14.8,44.8,12.9,42.3,1795971572.1,202996.0,14.2,663.3,0.2,0.174,0.00705,288156.0,14.600000000000001,23.799999999999997,39.599999999999994,2.0,0.65,7537.0,35.95
Брянская область,26015.5,98.4,26399.2,89.0,154.4,39156.0,87.2,8.4,241853.3,24.1,0.1,0.0,77822.6,180.8,471.1,8.4,12637.2,1288930.1,20.0,44.8,3.7,51.6,512286975.2,196210.0,23.5,998.7,-0.1,0.185,0.00832,228550.0,17.25,16.5,17.950000000000003,1.4,36.85,3603.0,36.6
Владимирская область,23908.3,98.1,29127.2,91.0,142.8,39919.5,65.9,10.35,288394.0,16.1,0.2,0.15300000000000002,93964.6,211.8,579.5,16.2,14255.8,1449905.6,23.1,34.8,4.8,60.4,1041373566.5,156336.0,22.2,1031.7,-6.8,0.233,0.00972,253318.0,16.95,21.4,12.4,1.85,28.45,3606.5,38.3
Волгоградская область,22899.0,97.7,29850.7,91.8,320.3,65310.3,57.199997,8.0,303052.2,17.9,1.0,0.3993,64322.4,139.5,504.8,4.0,26740.8,2604571.3,19.7,46.2,4.0,49.8,1925352038.0,149410.0,23.8,979.4,-2.6,0.19,0.01694,468204.0,18.950000000000003,15.549999999999999,21.2,2.9,15.15,6475.5,30.6
Вологодская область,27058.5,98.9,34297.8,89.0,156.0,30892.2,50.35,5.95,408392.8,16.9,1.1,0.7072,90274.5,197.5,504.7,1.1,14235.6,1216547.4,17.9,43.1,2.3,54.6,1448579604.4,152469.0,24.5,1512.9,-9.9,0.187,0.01211,247778.0,16.85,15.45,13.45,2.7,20.0,12333.0,38.95
Воронежская область,30422.8,98.1,30077.0,89.1,216.3,76925.0,74.8,22.85,338926.4,19.9,0.9,0.5680000000000001,54782.6,95.3,637.4,8.5,22572.4,2352667.2,19.4,28.5,2.3,69.2,1228938911.0,222932.0,19.2,808.7,-0.9,0.205,0.01291,407007.0,17.65,20.75,19.049999999999997,1.2,23.8,1073.5,27.5
